"Trial","Osm","Cu","H2S","Anoxia","Dead","Alive"
1,51.2,66.6,0.1,1,93,0
1,51.2,66.6,0.32,0,222,0
1,51.2,66.6,0.32,1,151,0
1,51.2,133.3,0,0,9,36
1,51.2,133.3,0,1,12,36
1,51.2,133.3,0.03,0,57,8
1,51.2,133.3,0.03,1,43,71
1,51.2,133.3,0.1,0,88,0
1,51.2,133.3,0.1,1,109,0
1,51.2,133.3,0.32,0,360,0
1,51.2,133.3,0.32,1,262,0
2,12.8,0,0,0,1,108
2,12.8,0,0,1,1,80
2,12.8,0,0.03,0,3,59
2,12.8,0,0.03,1,1,56
2,12.8,0,0.1,0,1,115
2,12.8,0,0.1,1,2,78
2,12.8,0,0.32,0,2,90
2,12.8,0,0.32,1,3,54
2,12.8,33.3,0,0,76,32
2,12.8,33.3,0,1,72,27
2,12.8,33.3,0.03,0,147,0
2,12.8,33.3,0.03,1,7,102
2,12.8,33.3,0.1,0,129,0
2,12.8,33.3,0.1,1,42,89
2,12.8,33.3,0.32,0,254,0
2,12.8,33.3,0.32,1,272,0
2,12.8,66.6,0,0,34,18
2,12.8,66.6,0,1,112,1
2,12.8,66.6,0.03,0,147,1
2,12.8,66.6,0.03,1,41,40
2,12.8,66.6,0.1,0,167,0
2,12.8,66.6,0.1,1,141,10
2,12.8,66.6,0.32,0,218,0
2,12.8,66.6,0.32,1,190,0
2,12.8,133.3,0,0,97,1
2,12.8,133.3,0,1,86,0
2,12.8,133.3,0.03,0,153,0
2,12.8,133.3,0.03,1,111,2
2,12.8,133.3,0.1,0,192,0
2,12.8,133.3,0.1,1,142,0
2,12.8,133.3,0.32,0,244,0
2,12.8,133.3,0.32,1,278,0
2,22.4,0,0,0,0,80
2,22.4,0,0,1,0,70
2,22.4,0,0.03,0,1,87
2,22.4,0,0.03,1,5,63
2,22.4,0,0.1,0,2,133
2,22.4,0,0.1,1,2,132
2,22.4,0,0.32,0,2,80
2,22.4,0,0.32,1,6,41
2,22.4,33.3,0,0,58,46
2,22.4,33.3,0,1,126,20
2,22.4,33.3,0.03,0,171,1
2,22.4,33.3,0.03,1,5,64
2,22.4,33.3,0.1,0,91,0
2,22.4,33.3,0.1,1,33,46
2,22.4,33.3,0.32,0,214,0
2,22.4,33.3,0.32,1,319,0
2,22.4,66.6,0,0,69,15
2,22.4,66.6,0,1,76,6
2,22.4,66.6,0.03,0,128,0
2,22.4,66.6,0.03,1,34,43
2,22.4,66.6,0.1,0,135,0
2,22.4,66.6,0.1,1,89,3
2,22.4,66.6,0.32,0,280,1
2,22.4,66.6,0.32,1,221,0
2,22.4,133.3,0,0,91,0
2,22.4,133.3,0,1,109,0
2,22.4,133.3,0.03,0,144,0
2,22.4,133.3,0.03,1,149,1
2,22.4,133.3,0.1,0,111,0
2,22.4,133.3,0.1,1,149,0
2,22.4,133.3,0.32,0,216,0
2,22.4,133.3,0.32,1,298,0
2,32,0,0,0,1,101
2,32,0,0,1,0,98
2,32,0,0.03,0,3,92
2,32,0,0.03,1,2,114
2,32,0,0.1,0,1,82
2,32,0,0.1,1,2,96
2,32,0,0.32,0,2,68
2,32,0,0.32,1,7,64
2,32,33.3,0,0,79,45
2,32,33.3,0,1,78,24
2,32,33.3,0.03,0,118,0
2,32,33.3,0.03,1,0,87
2,32,33.3,0.1,0,110,0
2,32,33.3,0.1,1,42,77
2,32,33.3,0.32,0,162,0
2,32,33.3,0.32,1,218,0
2,32,66.6,0,0,80,9
2,32,66.6,0,1,109,2
2,32,66.6,0.03,0,113,0
2,32,66.6,0.03,1,72,12
2,32,66.6,0.1,0,147,0
